feature_set,sampler,model_name,tuned,accuracy,precision,recall,f1,f1_macro,roc_auc,confusion_matrix_path,classification_report_path,roc_curve_path,pr_curve_path
select_k_best,smoteenn,decision_tree,False,0.9403409090909091,0.8737864077669902,0.9183673469387755,0.8955223880597015,0.926886442538797,0.9335931222882853,outputs/plots/confusion_matrix_select_k_best_smoteenn_decision_tree.png,outputs/reports/classification_report_select_k_best_smoteenn_decision_tree.txt,outputs/plots/roc_curve_select_k_best_smoteenn_decision_tree.png,outputs/plots/precision_recall_curve_select_k_best_smoteenn_decision_tree.png
rfe_log_reg,random_undersampling,xgboost,False,0.9431818181818182,0.89,0.9081632653061225,0.898989898989899,0.9297321036451471,0.9684637634581391,outputs/plots/confusion_matrix_rfe_log_reg_random_undersampling_xgboost.png,outputs/reports/classification_report_rfe_log_reg_random_undersampling_xgboost.txt,outputs/plots/roc_curve_rfe_log_reg_random_undersampling_xgboost.png,outputs/plots/precision_recall_curve_rfe_log_reg_random_undersampling_xgboost.png
rfe_log_reg,smoteenn,xgboost,False,0.9573863636363636,0.946236559139785,0.8979591836734694,0.9214659685863874,0.946113101252258,0.9773019443998072,outputs/plots/confusion_matrix_rfe_log_reg_smoteenn_xgboost.png,outputs/reports/classification_report_rfe_log_reg_smoteenn_xgboost.txt,outputs/plots/roc_curve_rfe_log_reg_smoteenn_xgboost.png,outputs/plots/precision_recall_curve_rfe_log_reg_smoteenn_xgboost.png
random_forest_importance,smoteenn,knn,False,0.9545454545454546,0.9361702127659575,0.8979591836734694,0.9166666666666666,0.9427083333333333,0.9481359472923028,outputs/plots/confusion_matrix_random_forest_importance_smoteenn_knn.png,outputs/reports/classification_report_random_forest_importance_smoteenn_knn.txt,outputs/plots/roc_curve_random_forest_importance_smoteenn_knn.png,outputs/plots/precision_recall_curve_random_forest_importance_smoteenn_knn.png
all_features,random_undersampling,xgboost,False,0.9431818181818182,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.9292945524666559,0.9738068455728749,outputs/plots/confusion_matrix_all_features_random_undersampling_xgboost.png,outputs/reports/classification_report_all_features_random_undersampling_xgboost.txt,outputs/plots/roc_curve_all_features_random_undersampling_xgboost.png,outputs/plots/precision_recall_curve_all_features_random_undersampling_xgboost.png
random_forest_importance,random_undersampling,xgboost,False,0.9375,0.88,0.8979591836734694,0.8888888888888888,0.9227053140096618,0.9632211152177407,outputs/plots/confusion_matrix_random_forest_importance_random_undersampling_xgboost.png,outputs/reports/classification_report_random_forest_importance_random_undersampling_xgboost.txt,outputs/plots/roc_curve_random_forest_importance_random_undersampling_xgboost.png,outputs/plots/precision_recall_curve_random_forest_importance_random_undersampling_xgboost.png
select_k_best,random_undersampling,decision_tree,False,0.9147727272727273,0.8148148148148148,0.8979591836734694,0.8543689320388349,0.8970639840917066,0.9096095130965772,outputs/plots/confusion_matrix_select_k_best_random_undersampling_decision_tree.png,outputs/reports/classification_report_select_k_best_random_undersampling_decision_tree.txt,outputs/plots/roc_curve_select_k_best_random_undersampling_decision_tree.png,outputs/plots/precision_recall_curve_select_k_best_random_undersampling_decision_tree.png
all_features,random_undersampling,decision_tree,False,0.9090909090909091,0.8,0.8979591836734694,0.8461538461538461,0.890818858560794,0.9056725052225616,outputs/plots/confusion_matrix_all_features_random_undersampling_decision_tree.png,outputs/reports/classification_report_all_features_random_undersampling_decision_tree.txt,outputs/plots/roc_curve_all_features_random_undersampling_decision_tree.png,outputs/plots/precision_recall_curve_all_features_random_undersampling_decision_tree.png
rfe_log_reg,random_undersampling,decision_tree,False,0.8920454545454546,0.7586206896551724,0.8979591836734694,0.822429906542056,0.8724394430669464,0.8938614816005142,outputs/plots/confusion_matrix_rfe_log_reg_random_undersampling_decision_tree.png,outputs/reports/classification_report_rfe_log_reg_random_undersampling_decision_tree.txt,outputs/plots/roc_curve_rfe_log_reg_random_undersampling_decision_tree.png,outputs/plots/precision_recall_curve_rfe_log_reg_random_undersampling_decision_tree.png
random_forest_importance,smoteenn,random_forest,False,0.9659090909090909,0.9886363636363636,0.8877551020408163,0.9354838709677419,0.9561589239008594,0.9771211634260004,outputs/plots/confusion_matrix_random_forest_importance_smoteenn_random_forest.png,outputs/reports/classification_report_random_forest_importance_smoteenn_random_forest.txt,outputs/plots/roc_curve_random_forest_importance_smoteenn_random_forest.png,outputs/plots/precision_recall_curve_random_forest_importance_smoteenn_random_forest.png
all_features,smote,xgboost,False,0.9573863636363636,0.9560439560439561,0.8877551020408163,0.9206349206349206,0.9457543535213437,0.9791499276876104,outputs/plots/confusion_matrix_all_features_smote_xgboost.png,outputs/reports/classification_report_all_features_smote_xgboost.txt,outputs/plots/roc_curve_all_features_smote_xgboost.png,outputs/plots/precision_recall_curve_all_features_smote_xgboost.png
select_k_best,smoteenn,xgboost,False,0.9545454545454546,0.9456521739130435,0.8877551020408163,0.9157894736842105,0.9423305345074748,0.9686043708822112,outputs/plots/confusion_matrix_select_k_best_smoteenn_xgboost.png,outputs/reports/classification_report_select_k_best_smoteenn_xgboost.txt,outputs/plots/roc_curve_select_k_best_smoteenn_xgboost.png,outputs/plots/precision_recall_curve_select_k_best_smoteenn_xgboost.png
rfe_log_reg,random_undersampling,random_forest,False,0.9517045454545454,0.9354838709677419,0.8877551020408163,0.9109947643979057,0.9389281814192257,0.9698899244737265,outputs/plots/confusion_matrix_rfe_log_reg_random_undersampling_random_forest.png,outputs/reports/classification_report_rfe_log_reg_random_undersampling_random_forest.txt,outputs/plots/roc_curve_rfe_log_reg_random_undersampling_random_forest.png,outputs/plots/precision_recall_curve_rfe_log_reg_random_undersampling_random_forest.png
rfe_log_reg,smote,gradient_boosting,False,0.9488636363636364,0.925531914893617,0.8877551020408163,0.90625,0.935546875,0.9682628957094649,outputs/plots/confusion_matrix_rfe_log_reg_smote_gradient_boosting.png,outputs/reports/classification_report_rfe_log_reg_smote_gradient_boosting.txt,outputs/plots/roc_curve_rfe_log_reg_smote_gradient_boosting.png,outputs/plots/precision_recall_curve_rfe_log_reg_smote_gradient_boosting.png
select_k_best,random_undersampling,gradient_boosting,False,0.9403409090909091,0.8969072164948454,0.8877551020408163,0.8923076923076924,0.9255251624603295,0.9618150409770206,outputs/plots/confusion_matrix_select_k_best_random_undersampling_gradient_boosting.png,outputs/reports/classification_report_select_k_best_random_undersampling_gradient_boosting.txt,outputs/plots/roc_curve_select_k_best_random_undersampling_gradient_boosting.png,outputs/plots/precision_recall_curve_select_k_best_random_undersampling_gradient_boosting.png
all_features,smote,decision_tree,False,0.9375,0.8877551020408163,0.8877551020408163,0.8877551020408163,0.9222240077133215,0.9222240077133215,outputs/plots/confusion_matrix_all_features_smote_decision_tree.png,outputs/reports/classification_report_all_features_smote_decision_tree.txt,outputs/plots/roc_curve_all_features_smote_decision_tree.png,outputs/plots/precision_recall_curve_all_features_smote_decision_tree.png
